CNPJ,REGISTRO_OPERADORA,Modalidade,UF,StatusCadastro
4311093000126,413534,Autogestão,MS,Ativo
27085968000114,418820,Autogestão,RJ,Ativo
4197511000104,413518,Autogestão,SE,Ativo
8097092000181,416401,Autogestão,DF,Ativo
37382009000114,363855,Autogestão,GO,Ativo
2315431000172,307319,Autogestão,RS,Ativo
15215452000168,315583,Autogestão,BA,Ativo
13086566000120,335789,Autogestão,SE,Ativo
33601568000117,344184,Autogestão,GO,Ativo
28502128000172,343331,Autogestão,ES,Ativo
4204285000133,358754,Autogestão,PA,Ativo
33719485000127,346659,Autogestão,DF,Ativo
5814777000103,385697,Autogestão,CE,Ativo
35617257000171,302627,Autogestão,PE,Ativo
63367700000139,359122,Autogestão,CE,Ativo
3033006000153,417548,Autogestão,RJ,Ativo
668790000188,320820,Autogestão,RS,Ativo
3702977000149,412295,Autogestão,DF,Ativo
42182170000184,324361,Medicina de Grupo,RJ,Ativo
11996146000155,417661,Autogestão,PE,Ativo
4574626000162,421341,Autogestão,MS,Ativo
21205801000163,419851,Autogestão,SC,Ativo
30036685000197,324477,Autogestão,RJ,Ativo
360305000104,312924,Autogestão,DF,Ativo
13223975000120,418072,Seguradora Especializada em Saúde,SP,Ativo
35908607000159,319872,Medicina de Grupo,RJ,Ativo
4566215000125,417785,Administradora de Benefícios,PR,Ativo
17634722000109,419265,Administradora de Benefícios,DF,Ativo
2725347000127,379956,Medicina de Grupo,SP,Ativo
856424000152,389358,Odontologia de Grupo,SP,Ativo
36263502000152,422304,Medicina de Grupo,RJ,Ativo
5455431000166,327328,Medicina de Grupo,CE,Ativo
9114713000150,417165,Administradora de Benefícios,RJ,Ativo
49884840000153,423637,Administradora de Benefícios,ES,Ativo
64170517000101,415952,Odontologia de Grupo,SP,Ativo
18987107000130,311472,Medicina de Grupo,MG,Ativo
6814351000112,418749,Medicina de Grupo,MG,Ativo
42278796000199,339270,Autogestão,MG,Ativo
12055813000168,417505,Autogestão,MG,Ativo
4940191000122,422436,Autogestão,MG,Ativo
10540020000109,417092,Medicina de Grupo,PB,Ativo
366982000130,386596,Cooperativa Médica,GO,Ativo
773639000100,392804,Medicina de Grupo,CE,Ativo
2569472000195,415910,Medicina de Grupo,SP,Ativo
950062000164,350699,Medicina de Grupo,SP,Ativo
37161015000141,314757,Odontologia de Grupo,DF,Ativo
62638374000194,303623,Medicina de Grupo,SP,Ativo
64928609000108,401871,Odontologia de Grupo,SP,Ativo
43776491000170,324892,Autogestão,SP,Ativo
88645403000139,310247,Medicina de Grupo,RS,Ativo
40432544000147,423963,Autogestão,SP,Ativo
20088388000131,419435,Administradora de Benefícios,DF,Ativo
43383373000100,423327,Administradora de Benefícios,SP,Ativo
3447952000146,410071,Odontologia de Grupo,RS,Ativo
76882612000117,340782,Medicina de Grupo,CE,Ativo
9585273000110,417891,Administradora de Benefícios,RJ,Ativo
38046343000160,422461,Administradora de Benefícios,RJ,Ativo
51262335000119,415944,Medicina de Grupo,SP,Ativo
14372148000161,419796,Autogestão,BA,Ativo
47902648000117,330051,Autogestão,SP,Ativo
27316538000166,416509,Autogestão,ES,Ativo
28151363000147,392405,Autogestão,ES,Ativo
26461699000180,334189,Autogestão,DF,Ativo
23920704000188,420247,Administradora de Benefícios,PR,Ativo
70094578000130,390259,Autogestão,PB,Ativo
60662550000106,424579,Administradora de Benefícios,PB,Ativo
45400278000194,423220,Administradora de Benefícios,SP,Ativo
29640612000120,321931,Filantropia,RJ,Ativo
3613857000175,410624,Medicina de Grupo,MG,Ativo
60537495000114,405931,Odontologia de Grupo,SP,Ativo
13286268000183,418323,Administradora de Benefícios,RJ,Ativo
2298249000150,407241,Cooperativa odontológica,SP,Ativo
87158507000156,367087,Cooperativa Médica,RS,Ativo
1041724000146,353477,Cooperativa odontológica,RS,Ativo
1750093000134,418242,Cooperativa odontológica,RR,Ativo
25064148000110,313084,Cooperativa Médica,TO,Ativo
85246916000189,318213,Cooperativa Médica,SC,Ativo
21490586000190,337188,Cooperativa Médica,MG,Ativo
85177194000158,317012,Cooperativa Médica,SC,Ativo
25906728000108,419028,Cooperativa odontológica,MG,Ativo
2725037000102,359459,Cooperativa odontológica,SE,Ativo
72350382000194,404241,Autogestão,RS,Ativo
3268622000193,406805,Medicina de Grupo,RS,Ativo
2947180000149,400572,Cooperativa odontológica,SP,Ativo
1501597000110,342335,Cooperativa odontológica,PE,Ativo
2254846000183,365785,Cooperativa odontológica,AP,Ativo
3494031000134,409791,Cooperativa odontológica,MG,Ativo
491998000174,402010,Cooperativa odontológica,BA,Ativo
19052653000142,353892,Odontologia de Grupo,MG,Ativo
73505463000189,418757,Administradora de Benefícios,PR,Ativo
17670901000193,418960,Administradora de Benefícios,SP,Ativo
19009638000111,368181,Odontologia de Grupo,MG,Ativo
69099307000198,397245,Odontologia de Grupo,SP,Ativo
33803129000197,421952,Odontologia de Grupo,SC,Ativo
34824393000170,422045,Administradora de Benefícios,DF,Ativo
56298884000167,424242,Administradora de Benefícios,PA,Ativo
253137000158,416118,Autogestão,SP,Ativo
27832058000158,421081,Odontologia de Grupo,RN,Ativo
24619902000179,420239,Odontologia de Grupo,AL,Ativo
66493529000100,386219,Odontologia de Grupo,SP,Ativo
35436658000125,339458,Odontologia de Grupo,PB,Ativo
1402285000150,300730,Odontologia de Grupo,PB,Ativo
58739669000180,424676,Odontologia de Grupo,SP,Ativo
4212174000179,413747,Odontologia de Grupo,AL,Ativo
571628000147,314366,Odontologia de Grupo,SP,Ativo
20735214000113,424447,Odontologia de Grupo,AM,Ativo
78738101000151,304484,Cooperativa odontológica,PR,Ativo
43192903000124,423050,Odontologia de Grupo,AL,Ativo
73193000100,333620,Odontologia de Grupo,PR,Ativo
1364933000120,401463,Odontologia de Grupo,CE,Ativo
39527909000138,422975,Odontologia de Grupo,MG,Ativo
2156150000114,322890,Odontologia de Grupo,SP,Ativo
5616674000139,416908,Odontologia de Grupo,PE,Ativo
1060301000173,327867,Odontologia de Grupo,SC,Ativo
3113408000168,414425,Odontologia de Grupo,SP,Ativo
19969500000164,357669,Autogestão,MG,Ativo
45768601000187,423271,Administradora de Benefícios,RJ,Ativo
1387625000110,349682,Medicina de Grupo,RS,Ativo
30505523000150,365645,Medicina de Grupo,SP,Ativo
47058412000146,423653,Odontologia de Grupo,PR,Ativo
7893499000152,416282,Medicina de Grupo,BA,Ativo
17312105000189,418927,Administradora de Benefícios,RJ,Ativo
27252086000104,421120,Administradora de Benefícios,DF,Ativo
49320799000192,342611,Autogestão,SP,Ativo
39245402000191,417343,Administradora de Benefícios,RJ,Ativo
48578525000135,423521,Administradora de Benefícios,ES,Ativo
34844263000107,422070,Autogestão,RJ,Ativo
58434577000191,424544,Medicina de Grupo,SP,Ativo
11593821000103,417297,Autogestão,SC,Ativo
352294000110,400891,Autogestão,DF,Ativo
37135365000133,395480,Medicina de Grupo,AL,Ativo
60967570000187,424625,Medicina de Grupo,RJ,Ativo
37442364000131,422576,Administradora de Benefícios,DF,Ativo
1856107000107,417441,Administradora de Benefícios,AP,Ativo
2989632000155,401480,Medicina de Grupo,PR,Ativo
49754083000101,423700,Medicina de Grupo,DF,Ativo
51107481000170,423785,Administradora de Benefícios,MG,Ativo
31763326000102,421642,Medicina de Grupo,ES,Ativo
58363709000131,424471,Odontologia de Grupo,SP,Ativo
1747987000175,414204,Administradora de Benefícios,PR,Ativo
11641931000195,423777,Autogestão,DF,Ativo
49390919000128,423581,Administradora de Benefícios,DF,Ativo
7270625000112,415626,Cooperativa odontológica,SC,Ativo
84112481000117,313971,Cooperativa Médica,AM,Ativo
3637776000105,410888,Medicina de Grupo,SP,Ativo
33105631000124,421847,Administradora de Benefícios,RJ,Ativo
52174905000181,423921,Medicina de Grupo,PE,Ativo
9030500000140,419818,Odontologia de Grupo,SP,Ativo
2618303000106,370592,Medicina de Grupo,PB,Ativo
580481000151,329665,Autogestão,ES,Ativo
60499365000134,410292,Filantropia,SP,Ativo
12585261000108,307751,Autogestão,PE,Ativo
660903000107,315567,Autogestão,MG,Ativo
628107000189,346926,Autogestão,DF,Ativo
82956996000178,315044,Autogestão,SC,Ativo
62465117000106,315478,Autogestão,SP,Ativo
42160192000143,317233,Autogestão,PE,Ativo
75054940000162,355151,Autogestão,PR,Ativo
397695000197,339636,Autogestão,RJ,Ativo
25063964000100,420701,Autogestão,RS,Ativo
304148000110,311359,Medicina de Grupo,PR,Ativo
31787625000179,330809,Autogestão,ES,Ativo
12838821000180,418285,Autogestão,MG,Ativo
26150979000178,323942,Filantropia,MG,Ativo
20119509000165,378216,Autogestão,MG,Ativo
14408631000159,418501,Medicina de Grupo,MG,Ativo
77375897000162,338648,Autogestão,PR,Ativo
73809352000166,312126,Autogestão,MG,Ativo
19878404000100,339954,Filantropia,MG,Ativo
13026081000140,418129,Autogestão,MS,Ativo
4839091000104,414689,Autogestão,CE,Ativo
68687722000108,409286,Medicina de Grupo,RJ,Ativo
16692996000183,419443,Administradora de Benefícios,RJ,Ativo
2009924000184,407011,Medicina de Grupo,SP,Ativo
45572583000163,343064,Medicina de Grupo,SP,Ativo
10547779000113,419931,Administradora de Benefícios,SP,Ativo
3658432000182,323080,Autogestão,DF,Ativo
39734514000106,424226,Administradora de Benefícios,SP,Ativo
43607343000121,423076,Administradora de Benefícios,RJ,Ativo
58512310000175,416819,Autogestão,RS,Ativo
31069197000149,422258,Administradora de Benefícios,AL,Ativo
40187311000126,422681,Medicina de Grupo,SP,Ativo
50354200000110,423726,Odontologia de Grupo,MG,Ativo
60420501000159,424587,Odontologia de Grupo,MG,Ativo
31925548000176,309222,Medicina de Grupo,RJ,Ativo
4165719000133,413160,Medicina de Grupo,RJ,Ativo
2668512000156,350249,Medicina de Grupo,SP,Ativo
20973213000107,423122,Administradora de Benefícios,SP,Ativo
63554067000198,368253,Medicina de Grupo,CE,Ativo
5011316000100,414352,Medicina de Grupo,SP,Ativo
10846369000173,417611,Administradora de Benefícios,SP,Ativo
27047334000177,421723,Medicina de Grupo,RJ,Ativo
61904680000162,424749,Administradora de Benefícios,SP,Ativo
18918915000146,419303,Administradora de Benefícios,SP,Ativo
49960804000121,423670,Odontologia de Grupo,RO,Ativo
54579080000100,424137,Administradora de Benefícios,PR,Ativo
885918000165,416398,Medicina de Grupo,PI,Ativo
22263081000155,314706,Filantropia,MG,Ativo
77893469000121,420930,Filantropia,PR,Ativo
92030543000170,424391,Filantropia,RS,Ativo
90619818000180,341941,Medicina de Grupo,RS,Ativo
16676520000159,421626,Autogestão,MG,Ativo
3284505000113,424129,Filantropia,CE,Ativo
3044492000105,363189,Medicina de Grupo,RS,Ativo
29780384000194,342955,Medicina de Grupo,RJ,Ativo
46316638000137,423343,Administradora de Benefícios,PE,Ativo
95642179000197,348180,Medicina de Grupo,PR,Ativo
361325000108,357511,Medicina de Grupo,PI,Ativo
9298037000112,417050,Administradora de Benefícios,RJ,Ativo
51380961000100,423840,Administradora de Benefícios,PR,Ativo
1176747000168,414921,Odontologia de Grupo,SP,Ativo
26032244000140,420751,Medicina de Grupo,DF,Ativo
16482945000127,414557,Odontologia de Grupo,BA,Ativo
30095515000183,421812,Administradora de Benefícios,PR,Ativo
13412400000156,418277,Administradora de Benefícios,SP,Ativo
322818000120,329282,Autogestão,RJ,Ativo
42785902000120,423564,Medicina de Grupo,MT,Ativo
48982275000102,423572,Medicina de Grupo,RO,Ativo
25291830000146,420301,Administradora de Benefícios,SC,Ativo
92827666000136,419427,Autogestão,RS,Ativo
3518900000113,419010,Autogestão,PR,Ativo
7521370000113,414981,Odontologia de Grupo,MA,Ativo
5597049000197,415260,Odontologia de Grupo,RJ,Ativo
58418932000139,424439,Administradora de Benefícios,GO,Ativo
44477823000188,423173,Medicina de Grupo,SP,Ativo
13523003000151,418340,Odontologia de Grupo,SP,Ativo
60255171000193,359394,Odontologia de Grupo,SP,Ativo
53654432000182,423939,Medicina de Grupo,BA,Ativo
11980614000101,417998,Administradora de Benefícios,SP,Ativo
22694698000125,420841,Medicina de Grupo,SP,Ativo
62476676000103,312282,Medicina de Grupo,SP,Ativo
29958867000136,421375,Administradora de Benefícios,SP,Ativo
35288631000132,423424,Odontologia de Grupo,SP,Ativo
51473692000126,319422,Filantropia,SP,Ativo
23278898000160,333875,Filantropia,MG,Ativo
54370630000187,354562,Filantropia,SP,Ativo
56384183000140,347655,Filantropia,SP,Ativo
72127210000156,321320,Filantropia,SP,Ativo
55189930000127,329355,Filantropia,SP,Ativo
52852100000140,333808,Filantropia,SP,Ativo
79115762000193,336831,Filantropia,PR,Ativo
395988000135,366234,Autogestão,PR,Ativo
4463083000106,884,Seguradora Especializada em Saúde,SP,Ativo
44301933000194,423211,Administradora de Benefícios,BA,Ativo
34539000000186,422029,Medicina de Grupo,RJ,Ativo
57352183000121,424323,Administradora de Benefícios,RJ,Ativo
17827384000113,419095,Administradora de Benefícios,SP,Ativo
42728640000162,424358,Odontologia de Grupo,RO,Ativo
2127779000136,364592,Medicina de Grupo,SP,Ativo
36503186000149,422339,Medicina de Grupo,RJ,Ativo
15648898000186,418706,Administradora de Benefícios,SP,Ativo
14468083000152,418595,Administradora de Benefícios,SP,Ativo
4558034000157,414492,Medicina de Grupo,SP,Ativo
60932318000132,424731,Administradora de Benefícios,SP,Ativo
51103213000180,423688,Administradora de Benefícios,AM,Ativo
14095581000105,418536,Odontologia de Grupo,PR,Ativo
846662000187,379280,Medicina de Grupo,SP,Ativo
30927464000109,421685,Administradora de Benefícios,RJ,Ativo
39149389000177,422479,Medicina de Grupo,SP,Ativo
11828089000103,418374,Autogestão,DF,Ativo
5054671000159,412490,Autogestão,PA,Ativo
7873459000149,416835,Odontologia de Grupo,SP,Ativo
1541601000174,349291,Odontologia de Grupo,RJ,Ativo
19691730000104,419516,Medicina de Grupo,ES,Ativo
395266000180,415065,Medicina de Grupo,GO,Ativo
12706827000102,418048,Administradora de Benefícios,SP,Ativo
11055313000163,417564,Administradora de Benefícios,RJ,Ativo
26701100000139,420964,Administradora de Benefícios,RJ,Ativo
844669000160,329967,Odontologia de Grupo,SP,Ativo
50432863000106,416495,Medicina de Grupo,SP,Ativo
57303461000150,424196,Medicina de Grupo,RJ,Ativo
11235328000103,417696,Administradora de Benefícios,SP,Ativo
35490202000143,424064,Odontologia de Grupo,BA,Ativo
48825895000120,423611,Administradora de Benefícios,RJ,Ativo
20613814000109,419559,Administradora de Benefícios,RJ,Ativo
453863000114,328537,Medicina de Grupo,SP,Ativo
41058486000104,422797,Administradora de Benefícios,RJ,Ativo
14576780000127,419753,Medicina de Grupo,MG,Ativo
28310835000167,421367,Medicina de Grupo,PR,Ativo
26114773000192,420859,Administradora de Benefícios,ES,Ativo
3548273000163,411868,Medicina de Grupo,MG,Ativo
53654434000171,424331,Medicina de Grupo,BA,Ativo
57746455000178,333689,Medicina de Grupo,SP,Ativo
54542393000194,424099,Administradora de Benefícios,RJ,Ativo
29654067000121,421391,Administradora de Benefícios,SP,Ativo
55707166000134,424307,Administradora de Benefícios,ES,Ativo
3273825000178,406481,Odontologia de Grupo,SP,Ativo
44857357000166,380661,Autogestão,SP,Ativo
62493212000105,424757,Administradora de Benefícios,RJ,Ativo
3670297000190,412015,Medicina de Grupo,RJ,Ativo
42509257000113,416703,Autogestão,BA,Ativo
35056511000100,422061,Administradora de Benefícios,RJ,Ativo
28991278000197,421677,Administradora de Benefícios,PR,Ativo
23821141000170,420140,Administradora de Benefícios,RJ,Ativo
1306081000115,351351,Odontologia de Grupo,SP,Ativo
30460075000116,418650,Autogestão,RJ,Ativo
1867792000169,304441,Odontologia de Grupo,PE,Ativo
21977451000153,421286,Administradora de Benefícios,RJ,Ativo
2949417000120,415057,Odontologia de Grupo,GO,Ativo
28311619000136,421146,Administradora de Benefícios,SP,Ativo
2858169000102,305928,Medicina de Grupo,SP,Ativo
2862447000103,372609,Medicina de Grupo,PR,Ativo
62550256000120,348520,Medicina de Grupo,CE,Ativo
44649812000138,359017,Medicina de Grupo,SP,Ativo
50876139000171,423661,Medicina de Grupo,RJ,Ativo
59545401000170,424561,Medicina de Grupo,GO,Ativo
2919940000104,417840,Odontologia de Grupo,RS,Ativo
42515882000178,352888,Autogestão,RJ,Ativo
40246859000108,422754,Medicina de Grupo,SP,Ativo
34907159000106,422088,Odontologia de Grupo,SP,Ativo
8961113000165,421464,Odontologia de Grupo,RS,Ativo
40223893000159,310981,Odontologia de Grupo,SP,Ativo
515717000176,312321,Odontologia de Grupo,SC,Ativo
1468033000123,406414,Odontologia de Grupo,PR,Ativo
36765005000152,422851,Odontologia de Grupo,AM,Ativo
36194357000103,422622,Odontologia de Grupo,MG,Ativo
92395847000130,405671,Odontologia de Grupo,RS,Ativo
17048922000171,418994,Odontologia de Grupo,CE,Ativo
14891935000110,419281,Odontologia de Grupo,SP,Ativo
3187913000157,414387,Odontologia de Grupo,CE,Ativo
1208983000119,344486,Odontologia de Grupo,SP,Ativo
47313264000169,423491,Odontologia de Grupo,SP,Ativo
94523503000195,418111,Odontologia de Grupo,RS,Ativo
40650166000178,422924,Odontologia de Grupo,AL,Ativo
2751464000165,389854,Odontologia de Grupo,DF,Ativo
10364053000145,417831,Odontologia de Grupo,SP,Ativo
15441865000160,419184,Odontologia de Grupo,RN,Ativo
17211049000196,419583,Odontologia de Grupo,SP,Ativo
58119199000151,301949,Odontologia de Grupo,SP,Ativo
361946000183,412040,Odontologia de Grupo,PE,Ativo
8708980000193,416738,Medicina de Grupo,SP,Ativo
36414737000106,422185,Administradora de Benefícios,RJ,Ativo
52917897000116,424030,Odontologia de Grupo,SP,Ativo
44673382000190,359661,Medicina de Grupo,SP,Ativo
92240605000178,304212,Medicina de Grupo,RS,Ativo
37303850000179,422673,Odontologia de Grupo,BA,Ativo
25186649000170,420743,Odontologia de Grupo,RN,Ativo
20918393000124,419699,Medicina de Grupo,MS,Ativo
2888465000156,318477,Medicina de Grupo,SP,Ativo
2774736000142,354511,Medicina de Grupo,RJ,Ativo
13816250000146,418226,Medicina de Grupo,RJ,Ativo
83335596000108,418200,Odontologia de Grupo,PA,Ativo
4942097000102,418447,Odontologia de Grupo,SP,Ativo
1972369000129,366510,Odontologia de Grupo,SP,Ativo
3990914000135,412996,Odontologia de Grupo,BA,Ativo
26766016000101,420972,Odontologia de Grupo,AL,Ativo
