registro_ans,cnpj,razao_social,status
326755,78613841000161,ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA,ativo
422053,33922160000147,ASSOCIAÇÃO FCA SAÚDE,ativo
416584,8883265000197,ASSOCIAÇÃO FUNDO DE PROTEÇÃO À SAÚDE,ativo
402206,2220135000198,ASSOCIAÇÃO GOIANA DO MINISTÉRIO PÚBLICO,ativo
421618,30724638000136,ASSOCIAÇÃO HOSPITAL SAÚDE DE VARGEM GRANDE DO SUL,ativo
423807,92685833000151,ASSOCIAÇÃO HOSPITALAR MOINHOS DE VENTO,ativo
419150,15323270000100,ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA,ativo
417211,11177786000133,ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO,ativo
420158,23869306000184,ASSOCIAÇÃO PADRE ALBINO SAÚDE,ativo
420816,25141173000150,ASSOCIAÇÃO PADRE PIO PLANOS DE SAÚDE,ativo
418617,12049486000131,ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ,ativo
422631,39427632000171,ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS,ativo
419958,20961779000119,ASSOCIAÇÃO PLANO DE SAÚDE SANTA CASA DE VALINHOS,ativo
408093,66493339000185,ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU,ativo
408263,71753297000104,ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA,ativo
409413,444803000135,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE,ativo
410110,34259000153,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA,ativo
406813,59766105000107,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE,ativo
406937,57272510000135,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE,ativo
410128,71559272000174,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE,ativo
409405,642842000147,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA,ativo
423203,841848000143,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE APAS,ativo
414212,59762062000183,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA (APAS),ativo
407569,72916364000127,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS,ativo
406945,147571000153,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU,ativo
408026,665690000106,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA,ativo
408034,66491036000123,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE JAÚ,ativo
411248,648506000101,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU,ativo
408794,72918287000144,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS),ativo
420786,24807514000111,ASSOCIAÇÃO SANTA CASA CLÍNICAS DE BIRIGUI,ativo
418803,16665579000141,ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA,ativo
419249,18321477000134,ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS,ativo
418021,13001218000102,ASSOCIAÇÃO SANTA SAÚDE,ativo
330892,2903477000102,ASSOCIAÇÃO SAÚDE CONCEIÇÃO,ativo
418218,11336728000105,ASSOCIAÇÃO SAÚDE RURAL ALEGRETE,ativo
418919,11867361000156,ASSOCIAÇÃO SAÚDE SÃO JOSÉ,ativo
417220,10796140000171,ASSOCIAÇÃO SERVIÇOS ODONTOLÓGICOS DA INDÚSTRIA DE MINAS GERAIS - ODONTOINDUSTRIA,ativo
419141,14946109000120,ASSOCIAÇÃO SÃO FRANCISCO VIDA,ativo
421006,27067508000163,ASSOCIAÇÃO SÃO LUIZ SAÚDE,ativo
420123,23557177000199,ASSOCIAÇÃO UNIVIDA SANTA RITA DO PASSA QUATRO,ativo
412635,307714000147,ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL,ativo
420794,23779545000143,ASSOREL BRASIL ADMINISTRADORA DE BENEFICIOS LTDA - EPP,ativo
336874,15245079000198,ATEMDE ODONTO SAÚDE CLUBE DE BENEFÍCIOS,ativo
424528,59641573000147,ATIMED ASSISTENCIA MEDICA LTDA,ativo
422151,34732056000152,ATITUDE SAÚDE ASSISTÊNCIA MEDICA LTDA,ativo
424714,62383533000157,ATIVUS LIFE ADMINISTRADORA DE BENEFICIOS LTDA,ativo
320510,69289171000189,ATÍVIA SERVIÇOS DE SAÚDE S/A,ativo
423629,49955478000164,AURORA SAÚDE LTDA,ativo
327417,59847780000152,AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA,ativo
423734,50507787000150,AVANT ADMINISTRADORA DE BENEFICIOS LTDA,ativo
424005,51124739000146,AVANTI ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA EPP,ativo
418013,12903235000172,BACCS ADMINISTRADORA DE BENEFÍCIOS LTDA,ativo
422991,41215349000128,BAUEN LIFE LTDA.,ativo
419257,19240452000179,BCI ADMINISTRADORA DE BENEFÍCIOS LTDA.,ativo
419125,7611953000135,BEDOIS SERVIÇOS DE ADMINISTRAÇÃO DE BENEFÍCIOS LTDA.,ativo
421332,29138326000161,BEM ADMINISTRADORAS LTDA,ativo
420697,25313773000159,BEM ESTAR ADMINISTRADORA DE BENEFÍCIOS LTDA,ativo
417874,8192597000125,BEM MAIS ODONTO OPERADORA ODONTOLÓGICA LTDA.,ativo
423181,45050963000138,BEMSTAR ASSISTENCIA MEDICA LTDA,ativo
318299,83506030000100,BENEFICENCIA CAMILIANA DO SUL,ativo
421189,22709109000135,BENEFICENCIA SOCIAL BOM SAMARITANO,ativo
419869,12380335000161,BENEFIT ADMINISTRADORA DE BENEFÍCIOS LTDA.,ativo
423891,50436148000141,BENEFIT BENEFICIOS LTDA,ativo
423467,46092428000102,BENET ADMINISTRAÇÃO DE BENEFÍCIOS LTDA,ativo
421324,29179109000110,BENEVITAE ADMINISTRADORA DE BENEFÍCIOS LTDA,ativo
417718,11073058000181,BENEVIX ADMINISTRADORA DE BENEFÍCIOS LTDA,ativo
366561,2849393000138,BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA.,ativo
420042,13852392000169,BEST LIFE ASSESSORIA NA GESTÃO E ADMINISTRADORA DE BENEFÍCIOS LTDA,ativo
421766,32421708000102,BEST SENIOR OPERADORA DE SAÚDE LTDA,ativo
402966,3123146000112,BIO SAÚDE SERVIÇOS MÉDICOS LTDA,ativo
419079,14674151000130,BIORAL SISTEMA ODONTOLÓGICO LTDA.,ativo
415111,4299138000194,BIOVIDA SAÚDE LTDA.,ativo
422401,34673588000166,BIT LIFE BENEFÍCIOS LTDA,ativo
424552,60233601000176,BKR SAÚDE ADMINISTRADORA DE BENEFÍCIOS LTDA,ativo
424170,54557861000102,BLUZZ SAÚDE S/A,ativo
424218,56980711000124,BOA SAUDE ADMNISTRADORA DE BENEFICIOS DE SAUDE LTDA,ativo
424706,62090465000138,BONNA SAUDE LTDA,ativo
421715,15011651000154,BRADESCO SAÚDE - OPERADORA DE PLANOS  S/A,ativo
5711,92693118000160,BRADESCO SAÚDE S.A.,ativo
421561,31596055000130,BRASIL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA,ativo
419419,19962272000109,BRASILDENTAL OPERADORA DE PLANOS ODONTOLÓGICOS S.A.,ativo
419613,14838567000146,BRAZIL DENTAL OPERADORA DE PLANOS ODONTOLÓGICOS LTDA,ativo
417238,1838723000127,BRF S/A,ativo
424536,58246775000121,BRS ADMINISTRADORA DE SAUDE LTDA,ativo
423530,46293680000180,BWG ADMINISTRADORA DE BENEFICIOS LTDA.,ativo
415774,7844436000106,CABERJ INTEGRAL SAÚDE S.A,ativo
424021,50805425000146,CACSS ADMINISTRADORA DE BENEFICIOS LTDA,ativo
327557,83937631000169,CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC,ativo
347825,1052203000194,CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO,ativo
314251,2172353000102,CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE,ativo
352331,62231527000184,CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO,ativo
414026,78304672000188,CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU,ativo
316873,73395469000140,CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE,ativo
413534,4311093000126,CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL,ativo
418820,27085968000114,CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO,ativo
413518,4197511000104,CAIXA DE ASSISTÊNCIA DO SINDFISCO - CASSIND,ativo
416401,8097092000181,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA EMPRESA BRASILEIRA DE PESQUISA  AGROPECUÁRIA,ativo
363855,37382009000114,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO,ativo
307319,2315431000172,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL,ativo
315583,15215452000168,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB,ativo
335789,13086566000120,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE,ativo
344184,33601568000117,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SETOR PÚBLICO DO ESTADO DE GOIÁS - CAEME,ativo
343331,28502128000172,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SISTEMA FINANCEIRO BANESTES,ativo
358754,4204285000133,CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DA AMAZÔNIA - CASF,ativo
346659,33719485000127,CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL,ativo
385697,5814777000103,CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL,ativo
302627,35617257000171,CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO,ativo
359122,63367700000139,CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS,ativo
417548,3033006000153,CAIXA DE ASSISTÊNCIA OSWALDO CRUZ,ativo
320820,668790000188,CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE,ativo
412295,3702977000149,CAIXA DE ASSISTÊNCIA À SAUDE DOS EMPREGADOS DA CODEVASF - CASEC,ativo
324361,42182170000184,CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ,ativo
417661,11996146000155,CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO,ativo
421341,4574626000162,CAIXA DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO MATO GROSSO DO SUL,ativo
419851,21205801000163,"CAIXA DE ASSISTÊNCIA À SAÚDE DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICAS E DO MATERIAL ELÉTRICO DE BRUSQUE",ativo
324477,30036685000197,CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP,ativo
312924,360305000104,CAIXA ECONÔMICA FEDERAL,ativo
418072,13223975000120,CAIXA SEGURADORA ESPECIALIZADA EM SAÚDE S/A,ativo
319872,35908607000159,CAMIM OPERADORA DE PLANO DE SAÚDE LTDA,ativo
417785,4566215000125,CAMPEÃ ADMINISTRADORA DE BENEFÍCIOS LTDA.,ativo
419265,17634722000109,CAPITAL ADMINISTRADORA DE BENEFÍCIOS LTDA.,ativo
379956,2725347000127,CARE PLUS MEDICINA ASSISTENCIAL LTDA.,ativo
389358,856424000152,CARE PLUS ODONTOLOGIA ASSISTENCIAL LTDA.,ativo
422304,36263502000152,CARING SAÚDE ASSISTÊNCIA MÉDICA LTDA.,ativo
327328,5455431000166,CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA  LTDA.,ativo
417165,9114713000150,CASE - CENTRAL DE ADMINISTRAÇÃO DE PLANO DE SAÚDE LTDA,ativo
423637,49884840000153,CASUFES SAÚDE ADMINISTRADORA DE BENEFÍCIOS,ativo
415952,64170517000101,CDA - ASSISTÊNCIA ODONTOLÓGICA LTDA - EPP,ativo
311472,18987107000130,CEAM BRASIL - PLANOS DE SAÚDE LTDA,ativo
418749,6814351000112,CEDPLAN SAÚDE LTDA EPP,ativo
339270,42278796000199,CELULOSE NIPO-BRASILEIRA S/A - CENIBRA,ativo
417505,12055813000168,CEMIG SAÚDE,ativo
422436,4940191000122,CENIBRA LOGÍSTICA LTDA,ativo
417092,10540020000109,CENTRAL OPERADORA DE PLANOS DE SAÚDE NORTE-NORDESTE LTDA,ativo
386596,366982000130,CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO,ativo
392804,773639000100,CENTRO CLÍNICO GAÚCHO LTDA,ativo
415910,2569472000195,CENTRO DE ENDOCRINOLOGIA DE JUNDIAÍ S/S LTDA,ativo
350699,950062000164,CENTRO HOSPITALAR ATIBAIA LTDA.,ativo
314757,37161015000141,CENTRO ODONTOLOGICO INTEGRADO LTDA,ativo
303623,62638374000194,CENTRO TRASMONTANO DE SAO PAULO,ativo
401871,64928609000108,CEORP - CENTRO ODONTOLOGICO LTDA,ativo
324892,43776491000170,CETESB - COMPANHIA AMBIENTAL DO ESTADO DE SÃO PAULO,ativo
310247,88645403000139,CIRCULO OPERARIO CAXIENSE,ativo
423963,40432544000147,CLARO S.A,ativo
419435,20088388000131,CLASSE ADMINISTRADORA DE BENEFÍCIOS LTDA - ME,ativo
423327,43383373000100,CLICSAUDE ADMINISTRADORA DE BENEFICIOS LTDA,ativo
410071,3447952000146,CLINICA ODONTOLOGICA ODONTOPLAN LTDA,ativo
340782,76882612000117,CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA,ativo
417891,9585273000110,"CLUBE DE BENEFICIOS PARA COOP., ASS., CONS., SIND. E SEGUROS - CBCACSS",ativo
422461,38046343000160,CLUBE SILVER ADMINISTRADORA DE PLANOS DE SAUDE LTDA,ativo
415944,51262335000119,CLÍNICA SÃO GABRIEL S/S LTDA,ativo
419796,14372148000161,COMPANHIA DAS DOCAS DO ESTADO DA BAHIA - CODEBA,ativo
330051,47902648000117,COMPANHIA DE ENGENHARIA DE TRAFEGO - CET,ativo
416509,27316538000166,COMPANHIA DOCAS DO ESPIRITO SANTO - CODESA,ativo
392405,28151363000147,COMPANHIA ESPIRITO SANTENSE DE SANEAMENTO,ativo
334189,26461699000180,COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB,ativo
420247,23920704000188,COMPAR ADMINISTRADORA DE BENEFICIOS LTDA - ME,ativo
390259,70094578000130,COMSEDER - COOPERATIVA DE ASSISTÊNCIA MÉDICA DOS SERVIDORES DA SUPLAN E DO DER LTDA,ativo
424579,60662550000106,CONECTA ADMINISTRADORA DE BENEFICIOS LTDA,ativo
423220,45400278000194,CONECTAPLAN ADMINISTRADORA DE BENEFÍCIOS LTDA,ativo
321931,29640612000120,CONFERÊNCIA SÃO JOSÉ DO AVAÍ,ativo
410624,3613857000175,CONFIANÇA ASSISTÊNCIA MÉDICO HOSPITALAR LTDA,ativo
405931,60537495000114,CONSTRUDENTE ASSISTENCIA ODONTOLOGICA LTDA,ativo
418323,13286268000183,CONTEM ADMINISTRADORA DE PLANOS DE SAÚDE LTDA.,ativo
407241,2298249000150,COOP-ODONTOCLASSIC - COOPERATIVA DE TRABALHO ODONTOLÓGICO,ativo
367087,87158507000156,COOPERATIVA CENTRAL UNIMED DE COOPERATIVAS DE ASSISTÊNCIA À SAÚDE DO RIO GRANDE DO SUL LTDA.,ativo
353477,1041724000146,COOPERATIVA DE ASSISTÊNCIA ODONTOLÓGICA VALE DO CAÍ LTDA - DENTSUL,ativo
418242,1750093000134,COOPERATIVA DE SAÚDE ODONTOLÓGICA - UNIODONTO RORAIMA,ativo
313084,25064148000110,COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA,ativo
318213,85246916000189,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,ativo
337188,21490586000190,COOPERATIVA DE TRABALHO MÉDICO DE POUSO ALEGRE,ativo
317012,85177194000158,COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA,ativo
419028,25906728000108,COOPERATIVA DE TRABALHO ODONTOLOGICO - UNIODONTO ITAJUBÁ,ativo
359459,2725037000102,COOPERATIVA DOS CIRURGIÕES DENTISTAS DO ESTADO DE SERGIPE,ativo
404241,72350382000194,COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA,ativo
406805,3268622000193,COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE LTDA.,ativo
400572,2947180000149,COOPERATIVA EVIDENTE - COOPERATIVA DE TRABALHO ODONTOLÓGICA DE BOTUCATU,ativo
342335,1501597000110,COOPERATIVA ODONTOLÓGICA DE GARANHUNS E AGRESTE MERIDIONAL.,ativo
365785,2254846000183,COOPERATIVA ODONTOLÓGICA DO ESTADO DO AMAPÁ,ativo
409791,3494031000134,COOPERATIVA ODONTOLÓGICA POÇOS DE CALDAS,ativo
402010,491998000174,COOPERATIVA ODONTOLÓGICA REGIÃO SUL DA BAHIA - UNIODONTO,ativo
353892,19052653000142,COOPERCISO - CENTRO INTEGRADO DE SERVIÇO ODONTOLÓGICO S/S LTDA.,ativo
