RazaoSocial,UF,Total_Despesas,Media_1º_Trimestre,Media_2º_Trimestre,Media_3º_Trimestre,Desvio_1º_Trimestre,Desvio_2º_Trimestre,Desvio_3º_Trimestre
UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS,PR,1858550111.13,9097447.248253968,9614636.034769231,10652574.068225807,21252984.508596778,22441113.459602177,23772090.19094527
GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA,RJ,1793297608.29,19738155.76241379,20281628.576551724,21818064.22275862,54629851.68325867,54075123.49482915,60321670.62364298
POSTAL SAÚDE CAIXA DE ASSISTÊNCIA E SAÚDE DOS EMPREGADOS DOS CORREIOS,DF,1726233902.98,30431039.65777778,29983404.121500004,28940355.335500002,100623791.84415868,107401296.96081969,100307148.7732926
CARE PLUS MEDICINA ASSISTENCIAL LTDA.,SP,1683425006.3,246487728.725,293564712.045,301660062.38,326074037.0755569,394521838.4370195,405518004.6906545
UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS,SP,1504650475.75,25938781.58388889,27760241.626666665,25622288.474285714,49837551.08055019,53308539.884311326,53733858.94014419
UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA.,CE,1495900596.55,10465701.621555556,10508620.132708333,11315875.15673913,21851988.2176859,22572794.585477304,22968291.988848712
UNIMED CAMPINAS - COOPERATIVA DE TRABALHO MÉDICO,SP,1474577964.26,8179865.421403509,8615903.412982456,9236056.083928572,22872501.29335416,24283186.362338044,24666034.08639044
FUNDAÇÃO CESP,SP,1387108965.72,37780890.31181818,40075791.04083333,40884139.983333334,67403955.51420932,77784145.03149502,80201668.20946056
SERV  SOCIAL AUTÔNOMO DE ASSIST À SAÚDE DOS SERV PÚBLICOS E MILITARES DE GOIÁS,GO,1265743544.65,,67714618.69666667,43754131.758666664,,197095924.69096002,163333792.96008134
UNIMED DO EST. DO RJ FEDERAÇÃO EST. DAS COOPERATIVAS MÉDICAS,RJ,1244406353.51,35550453.234545454,36543430.47090909,41033966.61363637,44725157.82738822,44764136.29494826,51897631.50268142
MEDISERVICE OPERADORA DE PLANOS DE SAÚDE S.A.,SP,1242354459.57,30208283.969166666,33466181.617500003,39855072.71083333,38727210.212436266,42597303.19969602,53173037.72687428
SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A,ES,1202689529.3700001,38336966.94777778,48551995.65625001,52137873.510000005,59108625.32504534,69990614.20725006,80572869.19274542
FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA,DF,1113379813.51,28659370.55285714,24776438.818571426,24351898.82066667,89223045.97327994,73658528.49569005,78197980.18255761
CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO,SP,1050617275.2900001,16002171.058500001,17546670.8775,18982021.8285,39133385.795829825,42821052.206348106,47861562.435964346
UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO,ES,1008904342.25,7524376.519285714,7069113.955106382,8014048.27888889,14465074.313961359,15312146.895188775,16958057.04660876
UNIMED GRANDE FLORIANÓPOLIS-COOPERATIVA DE TRABALHO MEDICO,SC,973797633.6,3626080.100123457,4263834.771168831,4628550.896184211,9209065.733253071,10353038.989323169,11407583.198394794
UNIMED RECIFE COOPERATIVA DE TRABALHO MÉDICO,PE,951137893.17,17744563.299411763,18266314.083529413,19938410.450588237,36206032.89883937,40440312.4581381,41080614.19914816
NOTRE DAME INTERMÉDICA MINAS GERAIS SAÚDE S.A.,CE,923019914.79,5276384.350392157,7203146.872244898,5280177.476842104,16212762.954816611,21833183.773621164,17759196.193786763
HUMANA SAÚDE NORDESTE LTDA. ,PI,808780757.35,5594836.157333333,7293305.658421054,8480833.795454545,12448069.851326048,14417878.585167399,15315569.621863844
UNIMED GOIANIA COOPERATIVA DE TRABALHO MÉDICO,GO,776155289.92,10485935.599583333,9500327.405925926,9570856.984642858,20009112.51867349,19573100.22332388,19630937.903787237
UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,PR,770128757.34,4275011.218947369,3757701.9031818183,4283766.034615384,11875743.411721684,10731420.123619955,12234228.42886005
CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL,MS,713249184.86,46920626.985999994,46795310.17800001,48933899.808,90921036.35351022,82808482.47136378,82448171.65464355
UNIMED SAO JOSÉ DO RIO PRETO - COOP. DE TRABALHO MÉDICO,SP,711318755.38,5430713.718333334,5816576.0934146345,5969491.692195122,15903595.894791517,16679967.614300767,17012966.171784412
FUNDAÇÃO SÃO FRANCISCO XAVIER,MG,708218248.24,9973437.388636364,10416278.832272727,11802022.335454546,20068751.23695677,20555160.501271877,23155372.196581922
ODONTOPREV S/A,SP,699892294.62,15320752.58857143,16979769.31357143,17691784.85642857,39675464.73468503,44458847.907133244,46480897.493213825
SANTA HELENA ASSISTÊNCIA MÉDICA S/A.,SP,686158578.02,9845285.54,10893437.242173914,10429201.884285714,16820398.52635962,19254324.65513669,17577407.824123006
SAMP ESPIRITO SANTO ASSISTENCIA MEDICA SA,ES,651086658.4,4683608.8954545455,4947596.474545455,5051413.824888889,13529138.529919064,14358986.677035876,15229262.683132235
CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA,CE,650089363.13,4467939.897209302,5373505.314545454,4815950.298043478,10148900.867824538,11972977.832871508,11588574.137211587
UNIMED DO ESTADO DE SANTA CATARINA FED. EST. DAS COOP. MÉD.,SC,645875139.17,2911968.4271641793,2949740.8379452056,3181650.9916216214,7329815.789651346,7665991.2780470485,7517710.294451495
UNIMED LITORAL COOPERATIVA DE TRABALHO MÉDICO LTDA,SC,638027144.91,6980436.417142858,7265559.721034484,7729123.110666666,15463162.901031053,16656253.05614672,17837710.75519
UNIMED SOROCABA COOPERATIVA DE TRABALHO MÉDICO,SP,632625499.06,12921201.049333332,14169821.578666668,14141259.977499997,20802371.95377932,22826708.054581802,23558168.934429962
CENTRO TRASMONTANO DE SAO PAULO,SP,613249698.59,27578182.860000003,29375063.742857147,30653853.195714284,34395623.651048854,36020357.45901267,37778404.80874451
UNIMED-SÃO GONÇALO - NITERÓI - SOC.COOP.SERV.MED E HOSP LTDA,RJ,592083314.15,5265864.111388888,5640302.514285714,5127540.453500001,11749463.158430846,11451574.378443483,11150075.09486579
UNIMED DE LONDRINA COOPERATIVA DE TRABALHO MÉDICO,PR,575224834.45,4266103.592857143,4570029.767560976,5089689.3434146345,7531652.010761465,7958570.533779509,8742844.876607269
UNIMED SERRA GAUCHA/RS COOPERATIVA DE ASSISTENCIA A SAUDE LTDA,RS,573919192.79,4709369.186842105,5058820.713421053,5479134.502162161,9283767.848824238,10258423.38036475,10850453.683316585
GAMA SAUDE LTDA.,SP,571027060.4100001,69144466.89,78699839.78,42498046.80000003,113427508.01750739,130328859.27884963,70862651.4910791
UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MÉDICO,SC,560041417.88,5852556.236333334,6096151.763225806,6305936.326774193,11373971.565100044,12125475.016483355,12914297.689421214
UNIMED DE BAURU COOPERATIVA DE TRABALHO MÉDICO,SP,537612706.51,2118378.768076923,2482043.452876712,2249294.0063529415,6588500.0902440315,7548851.564067984,7360102.860733398
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL,CE,529847312.04999995,11744102.527857142,12726598.803571431,13375535.243571427,28371953.28721886,31707421.132227276,32891290.360917833
UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO,PR,529557898.19,3535593.789347826,3676522.8563829786,4514511.851860465,7361882.066212788,7650354.414440541,9051758.378184084
UNIMED BLUMENAU - COOPERATIVA DE TRABALHO MEDICO,SC,527965233.92,2473325.630615385,2764669.87,3020003.115079365,6768035.410465226,7543604.645369665,7958192.450923104
UNIMED DE RIBEIRAO PRETO - COOPERATIVA DE TRABALHO MÉDICO,SP,527517924.83000004,7097139.716521739,8203862.681818182,8354487.834090909,11526050.736548154,12653848.412627036,13248943.941471988
UNIMED CUIABA COOPERATIVA DE TRABALHO MÉDICO,MT,510494222.05,2441358.77,2442535.459130435,2514572.757101449,4613168.339167735,4462823.458567477,4517305.794459319
ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO,SP,505800037.03999996,10261776.71125,11253072.921333333,11521034.389333334,21697339.686614543,22778565.66282848,23576836.436506506
UNIMED CAMPO GRANDE MS COOPERATIVA DE TRABALHO MÉDICO,MS,503545759.04,5217772.559333334,6001270.225357143,6171621.239655172,8388634.995998569,9238301.063367466,9800143.163996223
CEMIG SAÚDE,MG,485658908.72,21842842.204285715,25011963.03,22525038.86857143,51413171.64881894,59742228.68722873,53326172.0440794
UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO,PA,473772057.28,6801525.433181819,7968373.279000001,8238551.608499999,13339240.5217164,16439082.11910569,16144738.743737746
UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS,SP,458446413.78000003,1982039.1841333334,2113122.9350684932,2046519.7461842105,4352827.23553893,4568113.408373587,4438341.135707714
UNIMED UBERLÂNDIA COOPERATIVA REGIONAL TRABALHO MÉDICO LTDA,MG,456861543.0,4922383.340740741,4224637.535135135,4930753.058823531,10033075.180364909,9444013.08819995,10900552.173763165
SINDIFISCO NACIONAL - SINDICATO NACIONAL DOS AUDITORES-FISCAIS DA RECEITA FEDERAL DO BRASIL,DF,455932074.77000004,12705251.8775,11850210.58,16126652.528,29156851.6985577,26241300.971899725,33002861.875704423
UNIMED SAO JOSE DOS CAMPOS - COOPERATIVA DE TRABALHO MEDICO,SP,444811644.17,3687249.1505128206,3954609.6762162163,4070746.56,9605469.964567302,9701204.33475509,10185270.628263598
UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO MÉDICO LTDA,MG,421760555.3,2039776.370923077,2235427.4779365077,2392631.6141935484,5611486.87477601,5843428.157181973,6450379.946281028
ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS,SP,421660076.49,13281604.996000001,15187512.82777778,16906267.897777777,26887123.11222528,29086782.218470935,31784236.938155707
REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL,RJ,398286073.67,4754924.9932,5884870.32521739,5540805.052307691,11169619.712753324,13273153.06725988,13795219.434005344
UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE,RJ,390976288.99,4258787.8125,4983768.322592593,4898874.483214286,8880937.362047201,10099945.201489534,10723216.250965837
UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA.,RS,390025049.75,2935001.953809524,3065721.2381395353,3137882.6616279073,4194992.58795878,4438275.259869073,4481789.484114709
PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE,RJ,389478697.65999997,18479252.580000002,17268783.94857143,19891777.42285714,47388782.40040819,44868285.493302315,51253973.194476
UNIMED DE SANTOS COOP DE TRAB MEDICO,SP,385525732.86,3243314.4878378375,3044756.0614285716,2867569.6297916663,6298181.157632771,6500152.7226724215,6471205.305214332
UNIMED VALE DO SINOS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA,RS,385315853.3,4036263.6262068963,4305314.893,4636825.378333333,9385269.113586877,10254727.116460014,10877310.300076129
PLANO HOSPITAL SAMARITANO LTDA,SP,385076645.64,15496810.341249999,15814012.935,16823757.42875,29361223.28658849,29301176.62033548,31072729.019784637
UNIMED NATAL SOC. COOP. DE TRAB. MÉDICO,RN,375230282.02000004,3724304.9232142856,4111026.3334375,4356153.171875001,7823441.647692845,9958951.968230523,9262561.14578875
INSTITUTO CURITIBA DE SAÚDE,PR,367339857.4,36421944.35,40431714.25666667,45592960.52666666,61655681.73827027,68881780.064914,77776305.98847409
CENTRO CLÍNICO GAÚCHO LTDA,CE,360985122.59,2489105.5,2938064.4081395348,3051895.3912195126,5789045.645978176,6769629.546753551,6714794.189189549
UNIMED DE VOLTA REDONDA COOPERATIVA DE TRABALHO MÉDICO,RJ,358312059.5,4756509.567916666,4974444.845,5424745.80826087,8919642.178700399,9526603.465457348,10026949.784959191
ALICE OPERADORA LTDA.,SP,354140241.84,8328735.323636364,9768521.515,12108491.258333333,8629014.313383734,12384934.679139435,16771586.438525159
UNIMED DE SANTA BÁRBARA D'OESTE E AMERICANA - COOP DE TRABALHO MÉDICO,SP,334247149.89,2639911.4970731707,2866832.685,2854806.9515384617,6292280.529571493,6715826.547483639,6487393.4230542015
UNIMED MACEIO COOPERATIVA DE TRABALHO MÉDICO,AL,329560633.67,2077722.4894,2228157.1280392157,2196833.248431373,4720885.572957077,5147537.694835677,5817245.818811019
FUNDAÇÃO COPEL DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL,PR,327079989.87,9329996.899090908,10041837.898181818,10362709.736363638,21131334.62447937,22615363.181237474,24383832.760657277
ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL,SP,319041334.61,6601681.913571428,8102567.329999999,8084417.514285714,13038191.855107298,14962250.05661243,14799526.525208045
LEVE SAUDE OPERADORA DE PLANOS DE SAUDE S.A,RJ,315134594.61,3878881.7834782605,4191974.449583333,4819727.953846155,6400008.8062385265,7340370.675133595,9018242.609469898
HUMANA SAÚDE LTDA.,PR,307854954.92,2524334.1995121953,2576455.5963414633,2820644.9511428573,5346278.322071596,5562689.048186908,5545405.729121222
COOPERATIVA CENTRAL UNIMED DE COOPERATIVAS DE ASSISTÊNCIA À SAÚDE DO RIO GRANDE DO SUL LTDA.,RS,295016748.77,2174551.2533333334,2425339.1224999996,2601756.8592682923,6730351.617481663,7256369.0008121235,7766555.068057067
UNIMED CHAPECÓ - COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO OESTE CATARINENSE,SC,293816110.1,4689908.030526316,5426299.399473685,4838484.234761904,8713174.638238935,10264924.914754812,9662507.211095637
DOCTOR CLIN OPERADORA DE PLANOS DE SAÚDE LTDA.,RS,293459252.72999996,3789802.4045454543,4474230.499565217,5103633.254285715,13716850.828685235,17046092.997249387,18468760.46599811
SAMEL PLANO DE SAÚDE LTDA,AM,292492553.12,22726160.052500002,25442184.742499996,24954793.485000003,34682421.52779668,39035632.20792189,38202866.0586612
ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO,SP,290646650.52,14845562.326666668,19459662.869999997,17379160.368333332,32911089.273568753,39130021.12251247,35939022.682606794
UNIMED SÃO CARLOS - COOPERATIVA DE TRABALHO MÉDICO,SP,290548043.11,3376961.868148148,3704248.79,3817022.3751851846,5866255.737150175,6292822.734184173,6521334.379385207
METRUS INSTITUTO DE SEGURIDADE SOCIAL,SP,286214360.39,15024990.27666667,14206912.202857142,12077004.16375,33923846.07625425,35160710.606187955,31562302.051031597
ASSOCIAÇÃO SANTA SAÚDE,SP,285923214.03000003,6833338.496923076,7555701.915384616,5492538.259444444,11703447.035166323,13621099.007627873,11092644.388675615
SOBAM CENTRO MÉDICO HOSPITALAR S.A.,SP,285106367.35,4304521.725000001,4217678.753181819,4437179.8559090905,10768337.648511708,10725137.909660008,11517346.352387248
QUALLITY PRÓ SAÚDE PLANO DE ASSISTÊNCIA MÉDICA LTDA.,DF,275523801.97999996,6773583.949285714,6152524.487857142,6754163.132857142,15487211.98594739,13496208.779947953,15593652.993967656
CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP,RJ,273044292.06,18572130.288,14351238.910000002,15679367.86,40926390.56994681,34346862.89747964,37441487.7789607
UNIMED UBERABA COOPERATIVA DE TRABALHO MEDICO LTDA.,MG,272038112.41,2179746.1182500003,2356439.7921052636,2117856.790666667,4808854.22209335,5212610.873064022,5308083.492248661
FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL,PE,271546292.02,7360482.277,9587596.868000003,10206550.056999998,20474978.258043658,28018247.4014531,30138285.244522966
UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.,RJ,267213072.85,2599815.076969697,2525689.2611111114,2661598.879705882,3562757.3338203738,3650596.2538287444,3833470.6493100207
UNIMED DE ARARAQUARA - COOP. DE TRAB. MÉDICO,SP,265678724.89999998,4586234.179444444,5143605.743333334,5030089.238333333,8540146.7556052,9798779.624043265,9299912.650150169
UNIMED DE CASCAVEL COOPERATIVA DE TRABALHO MÉDICO,PR,260336026.23,2271579.852972973,2372039.1536111105,2330619.5420512822,4462166.297820069,4517612.552746332,4521018.281983169
BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA.,SP,258516757.16,5635276.556666668,6298563.822142857,6129122.521428571,15306716.671177836,15816138.350722218,14951814.061115611
ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA,SP,257100340.65,8952539.186666666,9603458.673333334,10010706.656666666,7942227.741216179,8563036.948996907,8867994.742752459
UNIMED PONTA GROSSA COOPERATIVA DE TRABALHO MEDICO,PR,257006967.91,3066691.5011538463,3105890.8017857145,3344742.4603703707,4763259.157188902,5262507.240526432,5346365.938303796
UNIMED PORTO VELHO - SOCIEDADE COOPERATIVA MÉDICA LTDA,RO,255708482.22,2850245.2481481484,3096336.6846428574,3287658.333928571,3997585.25035985,4508613.224665071,4729587.002536992
H.B. SAÚDE S/A.,SP,253053602.21,7916098.999000001,8964138.139,9361247.869999997,15388586.822333321,15697945.501290102,16838278.977493092
ITAUSEG SAÚDE S.A.,SP,252043443.10000002,20624169.9025,20985563.7525,14267418.08,30267245.23829451,30838286.659147814,27677359.809143897
UNIMED SERGIPE - COOPERATIVA DE TRABALHO MÉDICO,SE,249053944.70000002,3333269.0033333334,3631145.7609090907,3876968.7773913047,6460071.221340488,6902948.239838463,7986758.0908387005
UNIMED FRANCA - SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS E HOSPITALARES,SP,247421623.76999998,1290213.1273333333,1319188.6054098362,1492305.5199999998,3390877.389720512,3530453.9926894223,3988296.5183218815
UNIMED SUL CAPIXABA COOPERATIVA DE TRABALHO MÉDICO,ES,246087800.82,2219941.7422857145,2314510.321944444,2362985.229166667,6354017.8436686965,6750822.6819093255,6733160.980211539
UNIMED CARUARU-COOPERATIVA DE TRABALHO MEDICO,PE,244826167.21,3351793.2730434784,3911985.4323809524,3721009.9065217394,6708002.625286927,7583641.329196855,7623944.542215278
UNIMED DE CRICIÚMA COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO CARBONÍFERA,SC,244597436.31,1099734.207162162,1170715.9230985916,1082382.087027027,4640014.831036759,4774749.776743213,4350408.779343978
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA,MG,240551924.35999998,7776046.269999999,7878786.545000002,5250224.763125,13284043.933501398,12987156.314528435,10831480.939956466
UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO,SP,239959814.21,1892266.7357894734,2157797.1713157897,1955849.675909091,4730961.559963676,5383149.536565064,5417986.430668404
UNIMED VALE DO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO,PE,237827062.72,2384790.6670967746,2837470.7900000005,2331768.546571429,4919421.315149642,5332869.740483038,5157345.6583797075
ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS,SP,233314469.35,15398406.622,15620029.782,15644457.465999996,16516292.982527465,16440475.802258695,16076135.661088917
"SERVIÇO SOCIAL DA INDÚSTRIA DO PAPEL, PAPELÃO E CORTIÇA DO ESTADO DE SÃO PAULO - SEPACO",SP,230278531.36999997,11692297.12,12940549.461666664,13746908.646666666,17825020.757124152,19870680.51421922,21102270.99338312
KLINI PLANOS DE SAÚDE LTDA,RJ,227812876.34000003,12776956.198,15512121.162,17273497.908000004,17173098.451206807,20619910.68404094,21718160.390015215
PROMÉDICA - PROTEÇÃO MEDICA A EMPRESAS S.A.,BA,227419624.93,15313508.034,15221436.362,14948980.59,23461860.73809742,23702561.163655926,23292770.979821015
CIRCULO OPERARIO CAXIENSE,RS,219713827.02,2798601.19,2792803.0128,3197148.878,4597155.237685547,4605521.36818974,5101656.507866414
UNIMED DE ARACATUBA - COOPERATIVA DE TRABALHO MÉDICO,SP,218020343.15,2244966.5875757574,2078789.6594117647,2154635.2158823535,6183483.4340068335,5730391.067120886,5728540.482470733
CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ,RJ,215210728.4,3733401.768888889,4061318.3438888886,3745288.3185,8359144.068197824,9301541.487047154,9127652.284831556
AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA,SP,213691265.05,2997645.836956522,3079923.7934782607,3079465.1479166667,4833440.100120896,5006022.030042204,5112709.094199301
2CARE OPERADORA DE SAÚDE LTDA.,SP,210924198.9,5475969.376666666,5795235.654166666,4451161.09,10630854.398610879,11002067.109178027,7707211.097960038
PARANÁ CLÍNICAS - PLANOS DE SAÚDE S/A,PR,208211337.53,3896251.117647059,4233342.496470589,4118132.122941177,9849345.277131688,11052293.263364466,10369060.29269508
UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO,SP,207751956.99,1294325.3479591839,1465365.8152083333,1541509.4960416667,2143124.2229225426,2535932.978464977,2581829.0632012556
PLANO DE SAÚDE ANA COSTA LTDA.,SP,206207833.69000003,3215169.923809524,3432964.052,3685788.6447368427,9548998.566115618,9870175.103774978,10186001.213966386
BIOVIDA SAÚDE LTDA.,SP,201984279.87,16379399.345,17146214.0075,16970456.615000002,22662985.24285071,23196617.58300914,21721774.60742126
ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI,RS,201737831.93,2850742.35,3309110.121904762,3582460.589047619,5420045.654616071,6494146.230720276,7057318.738641474
UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALHO MEDICO LTDA,MG,199315552.94,1060409.2732692307,1491447.9917021277,1899390.1312820513,3456033.426151956,4180844.95230406,4936525.094444643
FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS,SC,198571494.03,3410238.492352941,4410938.930625,4118965.692352941,8256656.75825524,9644405.584993467,9079057.35347301
UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA.,CE,198090209.56,5515968.844545455,5720027.913333334,5290324.408461539,9028020.528910412,10093851.729098406,9799877.996408815
UNIMED DE GUARULHOS COOPERATIVA DE TRABALHO MÉDICO,SP,197863294.99,1853862.7609375,2786177.2884000004,2755410.1772000003,4007328.1714868364,5000034.6089268755,5466158.741266769
NOSSA SAÚDE - OPERADORA PLANOS PRIVADOS DE ASSISTÊNCIA  À SAÚDE LTDA.,PR,196844192.6,3026362.6938095237,3273004.438,2826270.3029166665,4622390.225589794,4795277.5110301925,4741468.55618041
ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA,PR,194205871.23,1621262.8251428572,1843062.9494444444,1975316.8380555557,3440962.994368825,3946145.4496794823,4092518.9822253534
ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL,MG,193714540.06,2858981.9128571427,3350168.5599999996,2898806.464782609,5948135.473500436,6857678.06665741,6299113.383792986
UNIMED PLANALTO MÉDIO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,RS,193541805.74,3806157.506875,3796211.0711764707,4006335.1423529414,4816585.860300554,4928746.632854371,5067600.689844137
UNIMED DE TUBARAO - COOPERATIVA DE TRABALHO MEDICO DA REGIAO DA AMUREL,SC,191726028.58,891235.2679687501,1008578.2714062501,1031440.6185294118,2628320.013091419,3020885.2542941105,3266847.119708625
